"export-plot data (NetLogo 6.0.4)"
"interstitial-diffusion-constant-surface-variable.nlogo"
"02/13/2019 10:19:26:946 -0600"

"MODEL SETTINGS"
"d-atom-cols","surface-concentration"
"6","50"

"""d-atoms per column"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","40","0","1000","false","""default""","false","2"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","43","26"
"""pen-1""","true","0","1","5","39"

"""default""",,,,"""pen-1"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","510","43","true","0","517","5","true"
"1","485","43","true","1","522","5","true"
"2","506","43","true","2","499","5","true"
"3","465","43","true","3","493","5","true"
"4","458","43","true","4","477","5","true"
"5","419","43","true","5","452","5","true"
"6","404","43","true","6","455","5","true"
"7","373","43","true","7","414","5","true"
"8","346","43","true","8","359","5","true"
"9","285","43","true","9","371","5","true"
"10","280","43","true","10","337","5","true"
"11","234","43","true","11","329","5","true"
"12","194","43","true","12","299","5","true"
"13","156","43","true","13","270","5","true"
"14","144","43","true","14","238","5","true"
"15","107","43","true","15","220","5","true"
"16","95","43","true","16","189","5","true"
"17","71","43","true","17","172","5","true"
"18","52","43","true","18","158","5","true"
"19","45","43","true","19","132","5","true"
"20","38","43","true","20","114","5","true"
"21","17","43","true","21","90","5","true"
"22","12","43","true","22","83","5","true"
"23","2","43","true","23","59","5","true"
"24","5","43","true","24","59","5","true"
"25","2","43","true","25","40","5","true"
"26","1","43","true","26","31","5","true"
,,,,"27","21","5","true"
,,,,"28","23","5","true"
,,,,"29","11","5","true"
,,,,"30","9","5","true"
,,,,"31","9","5","true"
,,,,"32","6","5","true"
,,,,"33","2","5","true"
,,,,"34","3","5","true"
,,,,"35","2","5","true"
,,,,"36","3","5","true"
,,,,"38","1","5","true"
,,,,"39","2","5","true"
