"BehaviorSpace results (NetLogo 6.1.1)"
"current-in-a-semiconductor-external-voltage.nlogo"
"temp-dependence"
"12/18/2019 11:06:28:352 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","recombine-prob","band-gap","doping","temperature","voltage","scatter-prob","[step]","avg-current"
"2","0.1","10","0","0.2","1","0.1","3000","0"
"1","0.1","10","0","0.1","1","0.1","3000","0"
"3","0.1","10","0","0.3","1","0.1","3000","0"
"4","0.1","10","0","0.4","1","0.1","3000","0"
"5","0.1","10","0","0.5","1","0.1","3000","0"
"6","0.1","10","0","0.6","1","0.1","3000","0"
"7","0.1","10","0","0.7","1","0.1","3000","-6.664445184938354E-4"
"8","0.1","10","0","0.8","1","0.1","3000","-0.004665111629456847"
"9","0.1","10","0","0.9","1","0.1","3000","-0.01732755748083972"
"10","0.1","10","0","1","1","0.1","3000","-0.0639786737754082"
"11","0.1","10","0","1.1","1","0.1","3000","-0.16594468510496502"
"12","0.1","10","0","1.2","1","0.1","3000","-0.31756081306231254"
"13","0.1","10","0","1.3","1","0.1","3000","-0.5578140619793402"
"14","0.1","10","0","1.4","1","0.1","3000","-0.8920359880039986"
"15","0.1","10","0","1.5","1","0.1","3000","-1.2479173608797067"
"16","0.1","10","0","1.6","1","0.1","3000","-1.6874375208263912"
"17","0.1","10","0","1.7","1","0.1","3000","-2.1709430189936687"
"18","0.1","10","0","1.8","1","0.1","3000","-2.6201266244585137"
"19","0.1","10","0","1.9","1","0.1","3000","-3.1632789070309895"
"20","0.1","10","0","2","1","0.1","3000","-3.7110963012329226"
"21","0.1","10","0","2.1","1","0.1","3000","-4.351549483505498"
"22","0.1","10","0","2.2","1","0.1","3000","-4.848383872042652"
"23","0.1","10","0","2.3","1","0.1","3000","-5.4915028323892034"
"24","0.1","10","0","2.4","1","0.1","3000","-6.059646784405198"
"25","0.1","10","0","2.5","1","0.1","3000","-6.598800399866711"
"26","0.1","10","0","2.6","1","0.1","3000","-7.195601466177941"
"27","0.1","10","0","2.7","1","0.1","3000","-7.721759413528824"
"28","0.1","10","0","2.8","1","0.1","3000","-8.28423858713762"
"29","0.1","10","0","2.9","1","0.1","3000","-8.836721092969011"
"30","0.1","10","0","3","1","0.1","3000","-9.36321226257914"
